country,year,ctr_year,ctr_name,life_threat,physical_health,mental_health,rape,fetal_impairment,economic,request,index
8,2000,82000,Argentina,1,1,1,1,0,0,0,
8,2001,82001,Argentina,1,1,1,1,0,0,0,
8,2002,82002,Argentina,1,1,1,1,0,0,0,
8,2003,82003,Argentina,1,1,1,1,0,0,0,
8,2004,82004,Argentina,1,1,1,1,0,0,0,
8,2005,82005,Argentina,1,1,1,1,0,0,0,
8,2006,82006,Argentina,1,1,1,1,0,0,0,
9,1960,91960,Armenia,1,1,1,1,1,1,1,
9,1961,91961,Armenia,1,1,1,1,1,1,1,
9,1962,91962,Armenia,1,1,1,1,1,1,1,
9,1963,91963,Armenia,1,1,1,1,1,1,1,
9,1964,91964,Armenia,1,1,1,1,1,1,1,
9,1965,91965,Armenia,1,1,1,1,1,1,1,
9,1966,91966,Armenia,1,1,1,1,1,1,1,
9,1967,91967,Armenia,1,1,1,1,1,1,1,
9,1968,91968,Armenia,1,1,1,1,1,1,1,
9,1969,91969,Armenia,1,1,1,1,1,1,1,
9,1970,91970,Armenia,1,1,1,1,1,1,1,
9,1971,91971,Armenia,1,1,1,1,1,1,1,
9,1972,91972,Armenia,1,1,1,1,1,1,1,
9,1973,91973,Armenia,1,1,1,1,1,1,1,
9,1974,91974,Armenia,1,1,1,1,1,1,1,
9,1975,91975,Armenia,1,1,1,1,1,1,1,
9,1976,91976,Armenia,1,1,1,1,1,1,1,
9,1977,91977,Armenia,1,1,1,1,1,1,1,
9,1978,91978,Armenia,1,1,1,1,1,1,1,
9,1979,91979,Armenia,1,1,1,1,1,1,1,
9,1980,91980,Armenia,1,1,1,1,1,1,1,
9,1981,91981,Armenia,1,1,1,1,1,1,1,
9,1982,91982,Armenia,1,1,1,1,1,1,1,
9,1983,91983,Armenia,1,1,1,1,1,1,1,
9,1984,91984,Armenia,1,1,1,1,1,1,1,
9,1985,91985,Armenia,1,1,1,1,1,1,1,
9,1986,91986,Armenia,1,1,1,1,1,1,1,
9,1987,91987,Armenia,1,1,1,1,1,1,1,
9,1988,91988,Armenia,1,1,1,1,1,1,1,
9,1989,91989,Armenia,1,1,1,1,1,1,1,
9,1990,91990,Armenia,1,1,1,1,1,1,1,
9,1991,91991,Armenia,1,1,1,1,1,1,1,
9,1992,91992,Armenia,1,1,1,1,1,1,1,
9,1993,91993,Armenia,1,1,1,1,1,1,1,
9,1994,91994,Armenia,1,1,1,1,1,1,1,
9,1995,91995,Armenia,1,1,1,1,1,1,1,
9,1996,91996,Armenia,1,1,1,1,1,1,1,
9,1997,91997,Armenia,1,1,1,1,1,1,1,
9,1998,91998,Armenia,1,1,1,1,1,1,1,
9,1999,91999,Armenia,1,1,1,1,1,1,1,
9,2000,92000,Armenia,1,1,1,1,1,1,1,
9,2001,92001,Armenia,1,1,1,1,1,1,1,
9,2002,92002,Armenia,1,1,1,1,1,1,1,
9,2003,92003,Armenia,1,1,1,1,1,1,1,
9,2004,92004,Armenia,1,1,1,1,1,1,1,
9,2005,92005,Armenia,1,1,1,1,1,1,1,
9,2006,92006,Armenia,1,1,1,1,1,1,1,
11,1960,111960,Australia,1,1,0,0,0,0,0,
11,1961,111961,Australia,1,1,0,0,0,0,0,
11,1962,111962,Australia,1,1,0,0,0,0,0,
11,1963,111963,Australia,1,1,0,0,0,0,0,
11,1964,111964,Australia,1,1,0,0,0,0,0,
11,1965,111965,Australia,1,1,0,0,0,0,0,
11,1966,111966,Australia,1,1,0,0,0,0,0,
11,1967,111967,Australia,1,1,0,0,0,0,0,
11,1968,111968,Australia,1,1,0,0,0,0,0,
11,1969,111969,Australia,1,1,0,0,0,0,0,
11,1970,111970,Australia,1,1,1,1,1,1,1,
11,1971,111971,Australia,1,1,1,1,1,1,1,
11,1972,111972,Australia,1,1,1,1,1,1,1,
11,1973,111973,Australia,1,1,1,1,1,1,1,
11,1974,111974,Australia,1,1,1,1,1,1,1,
11,1975,111975,Australia,1,1,1,1,1,1,1,
11,1976,111976,Australia,1,1,1,1,1,1,1,
11,1977,111977,Australia,1,1,1,1,1,1,1,
11,1978,111978,Australia,1,1,1,1,1,1,1,
11,1979,111979,Australia,1,1,1,1,1,1,1,
11,1980,111980,Australia,1,1,1,1,1,1,1,
11,1981,111981,Australia,1,1,1,1,1,1,1,
11,1982,111982,Australia,1,1,1,1,1,1,1,
11,1983,111983,Australia,1,1,1,1,1,1,1,
11,1984,111984,Australia,1,1,1,1,1,1,1,
11,1985,111985,Australia,1,1,1,1,1,1,1,
11,1986,111986,Australia,1,1,1,1,1,1,1,
11,1987,111987,Australia,1,1,1,1,1,1,1,
11,1988,111988,Australia,1,1,1,1,1,1,1,
11,1989,111989,Australia,1,1,1,1,1,1,1,
11,1990,111990,Australia,1,1,1,1,1,1,1,
11,1991,111991,Australia,1,1,1,1,1,1,1,
11,1992,111992,Australia,1,1,1,1,1,1,1,
11,1993,111993,Australia,1,1,1,1,1,1,1,
